#{"t_start": 1721369597.867865, "env_id": null}
r,l,t,d
-1387.62959,384,1207.604923,5.987058976513132
-1407.153256,227,1210.490875,6.4022593058129615
-760.096162,761,1219.853442,0.31546818977428276
-10464.484945,1321,1236.076894,1.0052845130149937
-2711.524371,1257,1251.563777,4.330424735670169
-1222.76803,780,1260.94138,0.4981969936974635
218.692593,460,1266.828563,0.3784967240570081
-1540.562637,945,1278.646545,0.4765796520116902
-492.391764,734,1287.820616,0.6574213228655252
-3726.094629,169,1289.928217,9.973994437385686
-8369.862651,658,1298.1336,7.775383194557326
-290.849723,598,1305.56469,0.4370405749858237
-3045.159529,1685,1326.414178,10.03738817173102
-673.937376,688,1335.115,0.5234262129861271
299.164209,352,1339.626688,0.40088366347653454
134.729012,506,1346.09034,0.49480207047714003
-16.62531,543,1352.787266,0.32575887562096506
1.805109,579,1360.010113,0.3937973065964222
-1101.813487,659,1368.239712,0.5020454915477348
-60.175499,625,1375.03787,0.45143369571475017
319.851092,371,1379.735415,0.6654741576593893
215.583499,452,1385.055789,0.6190145449574604
-7123.620542,791,1394.721738,0.5874512676647485
-5959.403521,359,1399.255006,7.4520541391733905
-522.735403,921,1410.615722,0.45032105456328697
125.0376,458,1416.247185,0.36801495755743796
-8045.284998,607,1423.999401,6.424884646856922
-1320.781339,277,1427.482469,6.951447974184801
-209.818513,558,1434.354238,0.35137357752840837
119.562062,569,1441.668643,0.5079048784376518
-1046.466444,42,1442.230655,5.6562435894329335
-567.075013,1013,1454.862643,0.4656163059640024
-72.998984,622,1462.708816,0.6064212366320139
-2113.97183,996,1475.003789,7.976994930983537
-344.793557,640,1483.053441,0.6148771982179789
401.069273,380,1487.654658,0.38897248871160695
-4201.359716,754,1497.216781,0.8358486041226064
-2466.050743,1020,1509.897593,4.404483772911502
-1581.778569,607,1517.655928,3.897374825351911
139.593537,498,1523.68922,0.3235284350108189
-3376.019785,735,1533.041403,0.40410391265561335
-4587.834861,1121,1544.902952,0.41052269996777646
-10998.956174,759,1553.680831,6.866351356476363
40.124681,436,1559.159043,0.6901807551419239
-1001.119084,1,1559.174044,14.994412316169207
-309.786445,737,1568.273772,0.5356809738690518
-2174.823137,784,1577.68641,4.267022795253863
-5746.60679,858,1588.60027,0.6761675225772352
-6165.964611,788,1598.362249,7.015207008515855
-162.245341,604,1605.861012,0.4711891100606158
-336.088644,672,1613.681022,1.168946320494184
-1521.678894,586,1621.053234,1.9979712227154383
-8736.297414,1454,1639.127583,7.328681893056177
-2877.563891,799,1649.302662,0.32327080281746917
