#{"t_start": 1730106924.3697333, "env_id": null}
r,l,t,d
-10852.392248,323,1875.760379,9.062591762876739
-13974.324706,701,1880.716623,6.9430335476804625
-14073.583164,708,1885.775211,6.761101295859775
-13835.250465,702,1890.770205,6.947708624944332
-10420.528521,315,1892.973848,9.029216803463452
-10032.750564,310,1895.156708,8.910813318045156
-10448.842882,317,1897.441803,9.017475046135488
-10994.060273,326,1899.710731,9.101644601356956
-14078.048695,707,1904.678465,6.852884820789326
-10420.339167,315,1906.890286,9.035416694356778
-15202.953307,727,1912.005496,6.794795206832864
-11346.911066,333,1914.331124,9.082703392993443
-13804.147813,702,1919.40655,6.833883589875162
-13823.123185,704,1924.767168,6.89593083926951
-11290.679107,333,1927.314851,9.082550896304284
-10504.63018,322,1929.747194,8.902300418036344
-15430.984923,729,1935.62153,6.75112622024681
-10389.818839,318,1938.037376,8.956566697465288
-10773.675954,326,1940.471758,9.049128906912618
-14849.046207,718,1945.94971,6.6401249572440495
-10244.098318,317,1948.349286,8.895065770830687
-14692.841152,718,1953.879348,6.7753240186246435
-10430.878593,324,1956.410281,8.844599121848791
-13927.403742,707,1961.677816,6.909454049335203
-14076.36786,707,1967.338181,6.9369932589562735
-13766.6219,704,1972.601001,6.860832654667595
-11048.017574,331,1975.121081,9.088259894504628
-15101.688325,722,1980.563738,6.682173116920644
-14324.669103,710,1985.608338,6.817921609902574
-14559.376841,716,1990.688104,6.744817316674046
-10439.40346,315,1992.895179,9.054598124143649
-13809.889733,704,1997.866496,6.937441838967445
-14741.603542,717,2002.928947,6.726210505369332
-15069.589567,721,2007.987933,6.7836630114833465
-14184.169423,708,2012.98207,6.820485130917236
-14964.063555,722,2018.090287,6.757738643571477
-14730.239845,723,2023.200084,6.979360109418823
-10675.259248,323,2025.459857,9.002149701537483
-14836.778479,720,2030.547804,6.701581796919333
-14157.980649,714,2035.592584,7.0105923056493165
-15377.772822,731,2040.720818,6.7901385183600365
-11576.756209,340,2043.121927,9.06029317132122
-14094.25577,712,2048.133478,6.9233248747125495
-14479.589053,723,2053.207784,7.058996023275842
-10294.510426,319,2055.45943,8.862285585237604
-14681.308955,733,2060.637603,7.315967563559895
-15430.28909,733,2065.811608,6.62111139162101
-10690.161922,325,2068.12626,9.02364102489839
-11306.215972,335,2070.501589,9.064078318933028
-13983.420891,711,2075.53162,6.942988042115655
-10315.002566,320,2077.750806,8.856633543670666
-14281.92285,718,2082.802856,6.958257988135024
-10535.605284,326,2085.119859,8.862536582892849
-10648.680214,328,2087.426621,8.946747786249325
-11113.684445,335,2089.789261,9.035474293926853
-15034.932057,725,2094.890248,6.819268776301104
-10938.561413,330,2097.208056,9.033048024868455
-14349.018492,722,2102.282319,6.895361933254564
-11885.354278,347,2104.69888,9.09019733042536
-15533.752971,738,2109.897868,6.7244660687626485
-14801.707664,725,2115.047405,6.734605101301154
-14468.668108,718,2120.088237,6.874760307570709
-14004.714808,710,2125.03789,6.931429278165985
-14566.205545,721,2130.116716,6.762373817690661
-15164.121281,729,2135.251848,6.6392003653981355
-10981.436035,331,2137.558048,9.06225883988337
-10319.232743,318,2139.788039,8.925249257554634
-14994.159732,727,2144.889951,6.697756916401696
-10184.485906,317,2147.103518,8.887984554053665
-10301.86876,316,2149.344265,8.966521216915218
-11289.960762,340,2151.714057,9.0433961698205
-14373.36662,713,2156.686928,6.733609004728354
-14101.426374,712,2161.692436,6.91507353111823
-11349.84754,338,2164.077089,9.081583537838416
-15068.609984,727,2169.651159,6.623463778846162
-10420.230546,322,2172.134241,8.921907923637287
-10722.046375,339,2174.640857,8.725318207634425
-11336.667318,340,2177.195897,9.057644667337625
-15187.317862,730,2182.946799,6.709816242536858
-14546.746436,727,2188.435859,6.795594995597657
-15789.449735,741,2194.027006,6.624330438074313
-10380.419378,321,2196.470025,8.924950583061598
-11295.95006,337,2198.964152,9.052963673595405
-10760.72087,329,2201.458126,8.97850079121066
-14402.354475,723,2206.839502,6.8793863293162865
-14721.645087,732,2212.421692,6.902262827064378
-14386.082633,724,2217.865668,6.9482599683832005
-10408.965375,325,2220.53709,8.861438563358401
-14227.737682,718,2225.898169,6.946772481564767
-14952.070287,741,2231.132067,6.979029453291843
-10696.274164,337,2233.503658,8.787899820490184
-15494.69056,737,2238.732537,6.672563487292792
-15677.367864,742,2243.953118,6.708563093087148
-14723.346445,731,2249.102862,6.821353715653418
-11506.315822,345,2251.535246,9.059997978113202
-11701.772813,348,2253.983916,9.066406581174643
-16078.492105,753,2259.317962,6.713972654093389
-10413.739381,323,2261.56777,8.940663824247116
-14430.142525,720,2266.671357,6.966724288832883
-10422.947871,323,2268.922409,8.866396606050763
-10540.505885,325,2271.184336,8.947650699859516
